iter	Passed	Remaining
0	480	95631
1	1040	103048
2	1467	96353
3	1810	88729
4	2174	84824
5	2554	82598
6	2939	81045
7	3395	81486
8	3764	79898
9	4155	78947
10	4566	78454
11	4980	78033
12	5392	77562
13	5782	76819
14	6147	75822
15	6539	75204
16	6921	74506
17	7323	74049
18	7690	73265
19	8065	72588
20	8487	72341
21	8885	71891
22	9292	71514
23	9665	70880
24	10067	70470
25	10458	69988
26	10818	69319
27	11191	68750
28	11572	68240
29	12024	68140
30	12413	67673
31	12896	67708
32	13248	67046
33	13768	67221
34	14181	66854
35	14643	66708
36	15032	66224
37	15451	65873
38	16011	66100
39	16658	66633
40	17134	66446
41	17614	66263
42	18037	65857
43	18470	65485
44	18963	65319
45	19435	65066
46	19852	64627
47	20240	64093
48	20711	63823
49	21071	63215
50	21460	62699
51	21942	62451
52	22398	62122
53	22819	61696
54	23209	61189
55	23624	60749
56	24009	60233
57	24469	59907
58	24913	59538
59	25429	59335
60	25944	59119
61	26399	58759
62	27159	59060
63	27565	58576
64	27979	58112
65	28352	57564
66	28789	57148
67	29169	56622
68	29555	56111
69	29904	55537
70	30275	55007
71	30630	54454
72	30977	53892
73	31342	53366
74	31657	52761
75	32003	52216
76	32501	51918
77	32847	51376
78	33199	50849
79	33578	50367
80	33943	49867
81	34308	49371
82	34685	48894
83	35076	48438
84	35452	47964
85	35817	47478
86	36176	46988
87	36675	46677
88	37272	46485
89	38063	46522
90	38536	46159
91	38968	45745
92	39364	45289
93	39767	44844
94	40195	44426
95	40576	43958
96	40992	43528
97	41427	43118
98	41879	42726
99	42344	42344
100	42798	41950
101	43363	41663
102	43820	41268
103	44227	40825
104	44640	40388
105	45362	40226
106	46045	40020
107	46616	39710
108	47270	39463
109	47835	39138
110	48802	39129
111	49226	38678
112	49756	38307
113	50182	37856
114	50539	37355
115	50887	36849
116	51240	36350
117	51588	35849
118	51925	35344
119	52298	34865
120	52673	34390
121	53052	33918
122	53424	33444
123	53782	32963
124	54156	32493
125	54503	32009
126	54971	31597
127	55321	31118
128	55663	30636
129	56011	30159
130	56370	29691
131	56723	29221
132	57081	28755
133	57419	28281
134	57815	27837
135	58170	27374
136	58513	26907
137	58877	26451
138	59211	25985
139	59561	25526
140	59926	25075
141	60305	24631
142	60662	24180
143	61004	23723
144	61363	23275
145	61691	22817
146	62049	22371
147	62402	21925
148	62747	21477
149	63100	21033
150	63456	20591
151	63793	20145
152	64139	19703
153	64483	19261
154	64847	18826
155	65198	18389
156	65530	17947
157	65892	17515
158	66243	17081
159	66599	16649
160	66969	16222
161	67335	15794
162	67677	15362
163	68031	14933
164	68389	14506
165	68733	14077
166	69094	13653
167	69446	13227
168	69805	12804
169	70168	12382
170	70502	11956
171	70856	11534
172	71213	11114
173	71572	10694
174	71938	10276
175	72306	9859
176	72632	9438
177	73010	9023
178	73358	8606
179	73701	8189
180	74072	7775
181	74430	7361
182	74801	6948
183	75180	6537
184	75614	6130
185	75991	5719
186	76404	5311
187	76746	4898
188	77128	4488
189	77477	4077
190	77827	3667
191	78193	3258
192	78580	2850
193	78926	2441
194	79282	2032
195	79620	1624
196	80046	1218
197	80409	812
198	80746	405
199	81095	0
