,user_ID,gender,age,the_total_time_need_to_fill_questionnaire_form,prefecture_ID,region_ID,east/west_ID,currently_prefecture_ID,currently _regional_ID,currently_east/west_ID,0_if_features_5_and_8_are_equal
0,6371,0,2,355,0,0,0,0,0,0,0
1,10007,1,1,214,26,6,1,26,6,1,0
2,1777,1,2,363,29,6,1,26,6,1,1
3,3613,0,4,395,40,9,1,26,6,1,1
4,8081,1,1,707,26,6,1,36,8,1,1
5,1462,1,2,276,12,3,0,13,3,0,1
6,5367,0,3,241,0,0,0,0,0,0,0
7,1084,1,2,196,0,0,0,13,3,0,1
8,6861,0,2,336,42,9,1,39,9,1,1
9,9458,1,0,308,18,5,0,18,5,0,0
10,9077,1,1,623,27,6,1,27,6,1,0
11,9614,1,1,416,13,3,0,13,3,0,0
12,8768,1,2,191,26,6,1,26,6,1,0
13,7155,0,3,195,16,3,0,16,3,0,0
14,1112,1,2,234,10,3,0,8,3,0,1
15,5281,0,2,192,18,5,0,13,3,0,1
16,9733,1,2,431,31,7,1,11,3,0,1
17,5695,0,2,222,40,9,1,12,3,0,1
18,5085,0,2,296,10,3,0,10,3,0,0
19,1834,1,2,380,32,7,1,14,3,0,1
20,1314,0,1,238,13,3,0,13,3,0,0
21,3725,0,3,378,15,4,0,15,4,0,0
22,1595,0,3,289,40,9,1,40,9,1,0
23,1513,0,3,273,30,7,1,30,7,1,0
24,5273,0,2,502,4,1,0,14,3,0,1
25,5175,0,3,329,39,9,1,39,9,1,0
26,6277,0,2,296,0,0,0,14,3,0,1
27,8864,1,2,212,13,3,0,13,3,0,0
28,9434,1,2,513,25,6,1,25,6,1,0
29,7167,0,2,282,11,3,0,12,3,0,1
30,8270,1,1,219,13,3,0,13,3,0,0
31,10085,1,2,446,13,3,0,13,3,0,0
32,5211,0,1,260,11,3,0,11,3,0,0
33,5111,0,5,446,40,9,1,40,9,1,0
34,7021,0,4,390,35,8,1,35,8,1,0
35,6665,0,3,421,30,7,1,30,7,1,0
36,4145,0,1,300,26,6,1,25,6,1,1
37,1140,1,2,418,29,6,1,29,6,1,0
38,8665,1,3,310,14,3,0,43,9,1,1
39,8053,1,3,259,24,5,0,24,5,0,0
